Unnamed: 0,file_name,text,text_clean,attribute,feature
2,00488a41-7407-49df-a509-514fc51f2d52.jpg,"_ ПРОСТОКВАШИНО КЕФИР феа TEnA 2,5% ЭЗОГ МОЛОЧНОГО ЖИРА _x000C_", ПРОСТОКВАШИНО КЕФИР феа TEnA 25 ЭЗОГ МОЛОЧНОГО ЖИРА _x000C_,1,1
4,00dfd9e2-2203-4eda-bc55-81cf2beacad0.jpg,Виски ВИЛЬЯМ лО)'СОНС 0.77 _x000C_,Виски ВИЛЬЯМ лОСОНС 0.77 _x000C_,1,1
7,0106df30-685e-4372-9c98-5cd10e16e7ca.jpg,"ad ‚ '. ` HOY cere! & Чоко Пай 120, ‚ —4%%\“.\'# 3 r. т wy НЕ te - _x000C_",ad  .  HOY cere  Чоко Пай 120  4. 3 r. т wy НЕ te  _x000C_,1,1
8,0114fd9e-d1d2-4852-ba29-a2774e0aca96.jpg,"all AN Kecbup 3,2% п “о 930r.  ч Casio Зеленое Милком 4600653111007 взМЖ  | 102387488 | T _x000C_",all AN Kecbup 32 п о 930r.  ч Casio Зеленое Милком 4600653111007 взМЖ   102387488  T _x000C_,1,1
10,013a6e20-cc27-440e-a311-a9b944a8260b.jpg,' Набор конфет icy. | | Accop rs шоколадные ° 3014400901191 К/У 250г. ‚ 70000021308 Р _x000C_, Набор конфет icy.   Accop rs шоколадные  3014400901191 КУ 250г.  70000021308 Р _x000C_,1,1
11,01569524-eae9-4f8f-b06e-81ca6f4f2eff.jpg,. - - | Bona СВЯТОЙ ИСТОЧНИК 15n _x000C_,.    Bona СВЯТОЙ ИСТОЧНИК 15n _x000C_,1,1
13,017d0517-6e01-4e7e-93a0-c57eb1f5ec5d.jpg,"—————— rt errr I Musso БАЛТИКА КЛАССИЧ.М* З О.45л оо , Н _x000C_", rt errr I Musso БАЛТИКА КЛАССИЧ.М З О.45л оо  Н _x000C_,1,1
14,0185c837-bf4a-43c3-985c-2e772651b5b0.jpg,< CAXAP-NECOK БЕЛЫЙ =a ФАСОВАННЫЙ 1КГ ГОСТ / Lis _x000C_, CAXAPNECOK БЕЛЫЙ a ФАСОВАННЫЙ 1КГ ГОСТ  Lis _x000C_,1,1
20,024f91d3-ec42-4865-8e34-1a8588abaffc.jpg,Набор MERC] шоколадный \250г й ШОКОЛадныу _on ы __ _x000C_,Набор MERC шоколадный 250г й ШОКОЛадныу on ы  _x000C_,1,1
21,027832b3-92a8-47e7-b30e-03925ebb43da.jpg,"Р-—!'——\ рн _ Т) Oe пПРОСТОКВАШИНО СМЕТАНА 15% ;::Ё,:Щ_'Е‘;Е:‚ 300r ПЛ/ CT (ДАНОН) МОЛОЧНОГО ЖИРА _x000C_",Р рн  Т Oe пПРОСТОКВАШИНО СМЕТАНА 15 ЁЩЕЕ 300r ПЛ CT ДАНОН МОЛОЧНОГО ЖИРА _x000C_,1,1
24,02d88f1c-3957-4627-9db9-d1642e417341.jpg,— НВ Hans Т --^ Ь.АРТ!/.'—'..'\ БЬЯНКО 2.54 | ощ эр 4 1Я _x000C_, НВ Hans Т  Ь.АРТ... БЬЯНКО 2.54  ощ эр 4 1Я _x000C_,1,1
25,02dce884-c16e-43e3-b12d-00eaa99cf16a.jpg,————=————  t—™ лапиток МАРТИНИ ч io bbAHKO 0О 5л _x000C_,  t лапиток МАРТИНИ ч io bbAHKO 0О 5л _x000C_,1,1
30,03548b85-a835-4ba3-96fb-7f2c12a5526f.jpg,- - —- eee | ‘dices ВИЛЬЯМ ЛОУСОНС О. 7» . vba | _x000C_,   eee  dices ВИЛЬЯМ ЛОУСОНС О. 7 . vba  _x000C_,1,1
32,037c830a-4395-4d7c-96b6-083aa4daf5e1.jpg,"Напиток DRIVE МЕ О,449л a OPV Dok AH AS} TS: Ags. ol _x000C_",Напиток DRIVE МЕ О449л a OPV Dok AH AS TS Ags. ol _x000C_,1,1
34,03bffaab-df12-4d0f-bf79-97cc1057e08d.jpg,"РАЛТИКА №3 КЛАСС Пиво CBET Фил NMAC] | 4,840,457) _x000C_",РАЛТИКА 3 КЛАСС Пиво CBET Фил NMAC  4840457 _x000C_,1,1
36,04358d40-5c22-4163-b02a-add7cada06df.jpg,"Нопиток ADRENALINE RUSH © aay, № _x000C_",Нопиток ADRENALINE RUSH  aay  _x000C_,1,1
40,046083c8-c915-4e04-87cf-05fb6df46627.jpg,` Чипсы LAYS 14Ог .' _x000C_, Чипсы LAYS 14Ог . _x000C_,1,1
41,04d8e14b-4fe2-4f7e-b985-555977ba2ec1.jpg,НВ ВЕРМУТ МАРТИНИ БЬЯНКС) СТАРАЯ (ВА ЗА Van БЕЛЫЙ СЛАДКИИ 15% 0.4511  699°  a a a Ba < isk _x000C_,НВ ВЕРМУТ МАРТИНИ БЬЯНКС СТАРАЯ ВА ЗА Van БЕЛЫЙ СЛАДКИИ 15 0.4511  699  a a a Ba  isk _x000C_,1,1
43,04ec2842-fe90-4609-a899-4ecf3a284a31.jpg,"ВОДА ПИТЬЕВАЯ СВЯТОЙ : ИСТОЧНИК ГАЗ П/Б 1,51 5 у 1 лв Fare _x000C_",ВОДА ПИТЬЕВАЯ СВЯТОЙ  ИСТОЧНИК ГАЗ ПБ 151 5 у 1 лв Fare _x000C_,1,1
45,050a4224-67d3-4e9e-9da0-ba11c34b4ae8.jpg,OE ОННЕ НЕО НН ч ___'—_ | Пиво СТАРЫЙ МЕЛЬНИК О.45л . AD Р Ср и A NACI fern / Ф и etm _x000C_,OE ОННЕ НЕО НН ч   Пиво СТАРЫЙ МЕЛЬНИК О.45л . AD Р Ср и A NACI fern  Ф и etm _x000C_,1,1
47,051ff00b-6b1a-47b3-982f-7acd144e9282.jpg,"°от0нчик SNICKERS SUPER 80- { at ae т› fk. , * 00 ° _x000C_",от0нчик SNICKERS SUPER 80  at ae т fk.   00  _x000C_,1,1
48,05217c7f-1555-403f-926b-fabfe9497f61.jpg,i : ндтпок Черноголовка . Ёпи‹ю‹ш„роввннні n/& 46244127 407° . - 215554 7/ * _x000C_,i  ндтпок Черноголовка . Ёпиюшроввннн n 46244127 407 .  215554 7  _x000C_,1,1
49,057636d9-8b09-4bc0-a067-8b02b1f5194a.jpg,| LAYS ЧИПСЫ КРАБ 40°F | { _x000C_, LAYS ЧИПСЫ КРАБ 40F   _x000C_,1,1
50,05819f0c-1a08-4810-a8e1-1653b55ade15.jpg,"„— # о7 — -‚-‚-','№ ' КОНФЕТЫ TOFFIFEE КОР.125Г (em) 30 240 _x000C_",  о7    КОНФЕТЫ TOFFIFEE КОР.125Г em 30 240 _x000C_,1,1
52,058a392c-e725-49ae-a7f8-f9e71a38c5af.jpg,Напиток Черноголовка Байкал 2л _x000C_,Напиток Черноголовка Байкал 2л _x000C_,1,1
