file_name,text,text_clean,feature
35dee6f3-19b1-4508-9c78-81be0bbb1e89.jpg,"ВИНО АПСНЫ КРАСНОЕ П/СЛ 0,75Л 5692° _x000C_",вино апсны красное псл 075л 5692  x000c ,1
35750d55-5ba3-4238-8048-3b0c15e58ead.jpg,"і — КОНФЕТЫ! ЖЕВ.МАМВА/МАМБА В ACCOPT.26,5/27,5F _x000C_",  конфеты жев мамвамамба в accopt 265275f  x000c ,0
cfa401c8-5596-43d3-8253-0f28415293ae.jpg,"I ea  . — -н о. . —ьое ол |  Напиток ЛЮБИМАЯ KONA 157 a | ership goon SG ""SIV Mipito Gall | _x000C_",i ea     н о    ьое ол   напиток любимая kona 157 a  ership goon sg siv mipito gall   x000c ,0
d1f8be7e-7530-4c0e-81b1-9fced74ce191.jpg,| 63M MK Кефир ПРОСТОКВАШИНО 710oFr | _x000C_, 63m mk кефир простоквашино 710ofr   x000c ,1
656cd957-a3c3-435a-bf6d-45423fab0e42.jpg,Ё | PEC SIOKBAWINHO КЕФИР | '}22?7.11’.?53' | ; MonoYy Horm Witting _ _x000C_,е  pec siokbawinho кефир  227 11 53   monoyy horm witting   x000c ,1
adfb02bd-d92e-469f-af79-7982ba735888.jpg,"EPICA ИОГУРТ С feet од л ва , KIT) BHKOM 4.5% Teor _ _x000C_",epica иогурт с feet од л ва  kit bhkom 4 5 teor   x000c ,0
15a3f490-d8bb-4ecf-aa3e-4362670ebb66.jpg,"оннн ЕН ИЕ  ° ПИВО СТАРЫЙ МЕЛЬНИКИЗ —  \""-. БОЧ.МЯГК.СВЕТ.4,396С/Б 0,457 : em OO : _x000C_",оннн ен ие   пиво старыи мельникиз     боч мягк свет 4396сб 0457  em oo   x000c ,1
a8e66fcc-91ae-47d5-9179-2026b320b4ef.jpg,EEE“ Виски ФОУЛЕРС 0.5n эормовой 40% _x000C_,eee виски фоулерс 0 5n эормовои 40  x000c ,0
aaca2797-426e-4cb2-a447-dfd361fa5094.jpg,ВН НН Р И ОННЕа аоаа аее “KA ЗИМНЯЯ ДЕРЕВЕНЬКА ‹іб_:а_нд В ADT RNA aon (САРАНСКИЙ) _x000C_,вн нн р и оннеа аоаа аее ka зимняя деревенька банд в adt rna aon саранскии  x000c ,0
3d9fe58a-784e-4952-892c-8bd3e4323d99.jpg,"a ae ADREMALINE BUSH НАПИТОК SHEPTET _ МАНГО 0,440/ _x000C_",a ae adremaline bush напиток sheptet  манго 0440  x000c ,1
2c83cac2-4015-4ce7-ab26-caa68974192e.jpg,"НАПИТОК MARTINI BIANCO ПРОДУКТ БЕПЫЬ cn HE ЯВЛЯЕТ (ИТАЛИЯ) Адкиа 0,5n ea | _x000C_",напиток martini bianco продукт бепыь cn he являет италия адкиа 05n ea   x000c ,1
2c5e42d9-cac2-4f0a-a907-6629e273a968.jpg,НВ Нопиток МАРТИНИ BbAHKG ‹; |. a YOOM.Ger ip и STO LK yy _x000C_,нв нопиток мартини bbahkg    a yoom ger ip и sto lk yy  x000c ,1
57c3ec82-1dab-480a-8b65-6dd3f01c6ddf.jpg,"GREE NFIELD ЧАЙ СПРИНГ МЕЛОДИ 25ПАК F 37,57 | _x000C_",gree nfield чаи спринг мелоди 25пак f 3757   x000c ,0
af0c6ee0-1202-49b4-baad-034d7196cf9a.jpg,"ВИНО ОРДИН.ОЛД КОУч МО. СОВ.БЛАН БЕЛ.СУХ.0,/ 5Л - 1199° ! _x000C_",вино ордин олд коуч мо  сов блан бел сух 0 5л  1199   x000c ,0
a7dce60c-1005-4a0a-8cd2-fd0cf2569670.jpg,н HH Напиток МАРТИНИ 0.25nr П| _x000C_,н hh напиток мартини 0 25nr п  x000c ,0
b295499d-6701-4b39-b9d1-6aa999297533.jpg,| „. ВИНО ЖАРДАН ФЛЕРИ СИРА 0.75A ' NEV & OK красное cyxoe сорт.орд _x000C_,   вино жардан флери сира 0 75a  nev  ok красное cyxoe сорт орд  x000c ,0
c8084a6b-4b0d-4878-ae6f-99335d613eaa.jpg,"— ПИВО АМСТЕЛ ПРЕМ.ПИЛСЕНЕР | СВ.АЛК.4,8% Ж/Б 0,43/1 _x000C_", пиво амстел прем пилсенер  св алк 48 жб 0431  x000c ,0
ba5644bf-3292-45b4-98eb-de68023063f5.jpg,CHOCO Р1Е ПЕЧЕНЬЕ в ШОКОЛАДНОИ т омИ х60ГР _x000C_,choco р1е печенье в шоколаднои т оми х60гр  x000c ,1
6bd14257-b494-4b5c-9729-67aceb9de936.jpg,KPYACCAH МИНИ CHIPICAOC ® KPEMOM KAKAO 50Г ga mH | _x000C_,kpyaccah мини chipicaoc  kpemom kakao 50г ga mh   x000c ,0
17c9aab4-f16e-48a1-a0da-939efecd5785.jpg,— — запазиолилллилллиллллллллОлллЕЕ ципсы LAYS 2258 | р ч _x000C_,  запазиолилллилллиллллллллолллее ципсы lays 2258  р ч  x000c ,1
097c4e99-4b39-4a7c-be4f-4eaeb57c55df.jpg,а TOFFIFEE КОНФБЕТЫ ЦЮКОЛАДНЫЕХ 1251 _x000C_,а toffifee конфбеты цюколадныех 1251  x000c ,1
165bde44-a604-4cb7-96c7-5036be7640ce.jpg,"__— | Каромель CHUPA CHUPS 15, | en Som OL Oe _x000C_",  каромель chupa chups 15  en som ol oe  x000c ,0
f6bacc17-bf7f-4052-9295-60252eeeeac8.jpg,Напиток пивной БАЛТИКА — ' №0 0.45n medun пн f/anw ж /6 _x000C_,напиток пивнои балтика   0 0 45n medun пн fanw ж 6  x000c ,0
ae4b64e3-f929-4982-92c6-783948852791.jpg,ЯШКИНО BADIM ГО№№Е Cc КАРАМЕЛЬНОЙ НАЧИНК 290г _x000C_,яшкино badim гое cc карамельнои начинк 290г  x000c ,0
335a2d7b-a212-4665-b1c2-dc6490cd8e91.jpg,"НЕКТАР RICH/PUY = sa NER CET, | — 90 l = 169 1 _x000C_",нектар richpuy  sa ner cet   90 l  169 1  x000c ,0
a1aa6be0-82db-4b23-b833-e20e366fc130.jpg,"_ “=” “ч ""ПивО LOWENBRAU =O ORIGINAL 0.45n светлое 5,4% ж/б _x000C_",  ч пиво lowenbrau o original 0 45n светлое 54 жб  x000c ,0
ab2adfca-123c-4a04-b9a7-30599f1cb138.jpg,"[ » <ча — —- --  у ,Напиток ХУГАРДЕН БЕЛОЕ  if 0. 44n _x000C_",  ча     у напиток хугарден белое  if 0  44n  x000c ,0
b9c0b368-5a19-4a69-a8da-bc9e4b12ab87.jpg,"Напиток DRIVE ME 0,449n ОРИДЖИНАЛ тонизирующ.б/алк.газ. _x000C_",напиток drive me 0449n ориджинал тонизирующ балк газ   x000c ,1
689c1713-b23b-4c4c-ba71-dfbddaab671d.jpg,Пиво светлое . Балтика 3 4.BY 4600682200451 x/6 OO 4e roe ‚В% ' 101599518 Г Г DTV 19 4/ А\ . _x000C_,пиво светлое   балтика 3 4 by 4600682200451 x6 oo 4e roe в  101599518 г г dtv 19 4 а    x000c ,1
6cee8810-2a69-4c76-aa66-dfc5a6baaa39.jpg,› KINDER БАТОНЧИК БУЭНО 43°F : _x000C_, kinder батончик буэно 43f   x000c ,0
6874c6c2-7d3d-42bb-98a2-3b23fa4f79cb.jpg,"НАСТОЙКА ГОРЬКАЯ м%ёэвух‚п. : ГРЕЧИШНАЯ 40% 0,5Л ( СИЯ) - ; _x000C_",настоика горькая меэвухп   гречишная 40 05л  сия    x000c ,0
a4a9358b-42e7-4852-8def-4a429d3d7562.jpg,ee l—SY ципсы LAYS 140° | _x000C_,ee lsy ципсы lays 140   x000c ,1
c3f61978-f65d-48d2-ad46-ccc57037bdb3.jpg,[Пирожнос КИНДЕР 28г i ARIK - СОАИ _x000C_,пирожнос киндер 28г i arik  соаи  x000c ,0
8375a4f7-11c2-49df-8069-27dbe4ff8672.jpg,— | TOFFIFEE КОНФЕ-' - _x000C_,  toffifee конфе   x000c ,1
290bef99-fae5-4425-baaa-a017742df453.jpg,"Л УГ МАРТИНИ Bh sary TTA СЛАДКИИ | - 0 ne * OO Рч LONG, _x000C_",л уг мартини bh sary tta сладкии   0 ne  oo рч long  x000c ,1
